,problems,best_algorithms
0,MW3,SPEA2_3
1,MW6,NSDE_3 GDE3_3
2,MW7,NSGA2_3 SPEA2_3
3,MW10,SPEA2_3 NSGA2_3 AGE_3
4,MW11,MOEAD_3
5,MW13,SPEA2_3 NSGA2_3
6,MW8,SPEA2_3 NSGA2_3 GDE3_3 NSDE_3
7,MW14,SPEA2_3
8,C1-DTLZ1,NSDE_3 SPEA2_3
9,C1-DTLZ3,SPEA2_3 GDE3_3 NSDE_3
10,C2-DTLZ2,AGE_3 SPEA2_3 GDE3_3 NSDE_3 NSGA2_3
11,C3-DTLZ1,MOEAD_3
12,Convex-C2-DTLZ2,NSDE_3
13,CTP1,MOEAD_3 NSDE_3
14,CTP2,SPEA2_3 NSGA2_3
15,CTP3,AGE_3 NSDER_3 SPEA2_3 GDE3_3 NSDE_3 NSGA2_3
16,CTP4,GDE3_3 NSDE_3 NSDER_3
17,CTP5,NSDER_3 SPEA2_3 GDE3_3 NSDE_3 NSGA2_3
18,CTP6,NSGA2_3 AGE_3 SPEA2_3
19,CTP7,NSDER_3 SPEA2_3 GDE3_3 NSDE_3 NSGA2_3
20,CTP8,SPEA2_3 NSGA3_3 NSGA2_3 AGE_3 NSDER_3
21,DAS-CMOP1,SPEA2_3
22,DAS-CMOP2,SPEA2_3
23,DAS-CMOP3,NSGA2_3 MOEAD_3 AGE_3 SPEA2_3
24,DAS-CMOP4,NSDE_3 GDE3_3
25,DAS-CMOP5,NSDE_3
26,DAS-CMOP6,NSDER_3 SPEA2_3 GDE3_3 NSDE_3 NSGA2_3
27,DC1-DTLZ1,AGE_3 NSDER_3 GDE3_3 NSDE_3 NSGA2_3
28,DC1-DTLZ3,NSDE_3 NSGA2_3 SPEA2_3 GDE3_3
29,DC2-DTLZ1,NSDE_3 SPEA2_3 GDE3_3
30,DC2-DTLZ3,NSDE_3 SPEA2_3 GDE3_3
31,DC3-DTLZ1,GDE3_3 NSGA2_3 NSDE_3 NSDER_3
32,DC3-DTLZ3,AGE_3 NSDER_3 SPEA2_3 GDE3_3 NSDE_3 NSGA2_3
