,problems,best_algorithms
0,MW1,NSDER_4 NSGA3_4 MOEAD_4 NSGA2_4 AGE_4 SPEA2_4 GDE3_4 NSDE_4
1,MW2,CTAEA_4 NSDER_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 NSDE_4 SPEA2_4
2,MW3,MOEAD_4
3,MW4,NSDER_4 GDE3_4
4,MW5,NSDER_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 NSDE_4 SPEA2_4
5,MW6,CTAEA_4 NSDER_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 NSDE_4 SPEA2_4
6,MW7,MOEAD_4
7,MW8,CTAEA_4 NSDER_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 NSDE_4 SPEA2_4
8,MW9,CTAEA_4
9,MW10,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 NSDE_4 SPEA2_4
10,MW11,CTAEA_4 NSDER_4 GDE3_4 MOEAD_4 NSDE_4
11,MW12,NSDER_4 NSGA2_4 AGE_4 GDE3_4 NSDE_4 SPEA2_4
12,MW13,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 SPEA2_4
13,MW14,CTAEA_4 NSDER_4 NSGA2_4 AGE_4 MOEAD_4 NSDE_4 SPEA2_4
14,CF1,MOEAD_4
15,CF2,CTAEA_4 NSDER_4 NSGA2_4 NSGA3_4 GDE3_4 MOEAD_4 NSDE_4 SPEA2_4
16,CF3,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 MOEAD_4 SPEA2_4
17,CF4,GDE3_4 MOEAD_4 NSGA3_4 AGE_4
18,CF5,SPEA2_4 NSGA2_4 NSGA3_4 AGE_4
19,CF6,NSGA2_4 NSGA3_4 MOEAD_4 CTAEA_4 AGE_4 SPEA2_4 GDE3_4 NSDE_4 NSDER_4
20,CF7,GDE3_4 NSGA3_4 MOEAD_4 CTAEA_4 NSGA2_4 AGE_4 SPEA2_4 NSDE_4 NSDER_4
21,C1-DTLZ1,NSDER_4 NSDE_4 GDE3_4
22,C1-DTLZ3,CTAEA_4 NSGA3_4
23,C2-DTLZ2,CTAEA_4 NSDER_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 MOEAD_4 NSDE_4 SPEA2_4
24,C3-DTLZ1,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 SPEA2_4
25,C3-DTLZ4,MOEAD_4 NSGA3_4 NSGA2_4 AGE_4 SPEA2_4
26,Convex-C2-DTLZ2,NSGA2_4 NSGA3_4 AGE_4 SPEA2_4 GDE3_4 NSDE_4 NSDER_4
27,CTP1,MOEAD_4
28,CTP2,CTAEA_4 NSGA2_4 MOEAD_4
29,CTP3,CTAEA_4 NSGA2_4 MOEAD_4
30,CTP4,CTAEA_4 NSGA2_4
31,CTP5,CTAEA_4 NSGA2_4 MOEAD_4
32,CTP6,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 SPEA2_4
33,CTP7,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 SPEA2_4
34,CTP8,CTAEA_4
35,DAS-CMOP1,CTAEA_4 NSGA2_4 AGE_4 MOEAD_4 SPEA2_4
36,DAS-CMOP2,MOEAD_4 NSDER_4
37,DAS-CMOP3,MOEAD_4 NSDER_4 NSDE_4 GDE3_4
38,DAS-CMOP4,SPEA2_4 NSGA2_4 NSGA3_4 AGE_4
39,DAS-CMOP5,SPEA2_4 NSGA2_4 NSGA3_4 AGE_4
40,DAS-CMOP6,SPEA2_4 NSGA2_4 NSGA3_4 AGE_4
41,DC1-DTLZ1,AGE_4 NSGA3_4 CTAEA_4 NSGA2_4 SPEA2_4
42,DC1-DTLZ3,SPEA2_4 NSGA2_4 NSGA3_4 AGE_4
43,DC2-DTLZ1,NSDER_4 NSGA2_4 NSGA3_4 AGE_4 GDE3_4 MOEAD_4 NSDE_4 SPEA2_4
44,DC2-DTLZ3,NSGA2_4 NSGA3_4 MOEAD_4 AGE_4 SPEA2_4 GDE3_4 NSDE_4 NSDER_4
45,DC3-DTLZ1,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 MOEAD_4 SPEA2_4
46,DC3-DTLZ3,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 SPEA2_4
47,NCTP1,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 MOEAD_4 SPEA2_4
48,NCTP2,CTAEA_4 NSGA2_4 NSGA3_4 AGE_4 MOEAD_4 SPEA2_4
49,NCTP3,MOEAD_4 NSGA3_4 CTAEA_4 NSGA2_4 AGE_4 SPEA2_4
50,NCTP4,MOEAD_4 NSGA3_4 CTAEA_4 NSGA2_4 AGE_4 SPEA2_4
51,NCTP5,MOEAD_4 NSGA3_4 CTAEA_4 NSGA2_4 AGE_4 SPEA2_4
52,NCTP6,CTAEA_4 NSGA2_4 NSGA3_4 MOEAD_4 SPEA2_4
53,NCTP7,CTAEA_4 NSDER_4 NSGA3_4 GDE3_4 MOEAD_4 NSDE_4
54,NCTP8,MOEAD_4 NSDER_4 NSDE_4 GDE3_4
55,NCTP9,MOEAD_4 NSGA3_4 CTAEA_4 NSGA2_4 AGE_4 SPEA2_4
56,NCTP10,CTAEA_4 NSGA2_4 NSGA3_4 MOEAD_4 SPEA2_4
57,NCTP11,MOEAD_4 NSGA3_4 CTAEA_4 NSGA2_4 AGE_4 SPEA2_4
58,NCTP12,CTAEA_4 NSGA2_4 NSGA3_4 MOEAD_4 SPEA2_4
59,NCTP13,NSDER_4 NSGA3_4 GDE3_4 MOEAD_4 NSDE_4
60,NCTP14,NSDER_4 NSGA3_4 GDE3_4 MOEAD_4 NSDE_4
61,NCTP15,NSDER_4 NSGA3_4 GDE3_4 MOEAD_4 NSDE_4
62,NCTP16,CTAEA_4 NSGA2_4 MOEAD_4 NSGA3_4
63,NCTP17,CTAEA_4 NSGA2_4 MOEAD_4 NSGA3_4
64,NCTP18,CTAEA_4 NSGA2_4 NSGA3_4 MOEAD_4 SPEA2_4
