,problems,best_algorithms
0,C1-DTLZ1,GDE3_5
1,C1-DTLZ3,GDE3_5
2,C2-DTLZ2,NSDE_5 NSGA2_5
3,C3-DTLZ1,SPEA2_5
4,C3-DTLZ4,SPEA2_5
5,Convex-C2-DTLZ2,GDE3_5
6,CF1,MOEAD_5
7,CF2,NSGA2_5 AGE_5 SPEA2_5
8,CF3,NSDE_5 GDE3_5 NSDER_5
9,CF4,MOEAD_5
10,CF5,MOEAD_5
11,CF6,NSDER_5 CTAEA_5 NSDE_5
12,CF7,MOEAD_5
13,DAS-CMOP1,NSGA2_5
14,DAS-CMOP2,NSGA2_5
15,DAS-CMOP3,NSGA2_5
16,DAS-CMOP4,NSDE_5 GDE3_5
17,DAS-CMOP5,NSDE_5 GDE3_5
18,DAS-CMOP6,NSGA2_5
19,DC1-DTLZ1,AGE_5 SPEA2_5 GDE3_5 NSDE_5 NSGA2_5 NSDER_5
20,DC1-DTLZ3,GDE3_5 NSDER_5 NSDE_5 NSGA2_5
21,DC2-DTLZ1,GDE3_5
22,DC2-DTLZ3,GDE3_5
23,DC3-DTLZ1,SPEA2_5 NSGA2_5
24,DC3-DTLZ3,SPEA2_5 NSGA2_5
25,CTP1,NSGA2_5 SPEA2_5
26,CTP2,AGE_5 NSGA3_5 NSGA2_5 SPEA2_5
27,CTP3,NSGA2_5 NSGA3_5 AGE_5 SPEA2_5
28,CTP4,AGE_5 NSGA3_5 SPEA2_5 GDE3_5 NSGA2_5
29,CTP5,AGE_5 MOEAD_5 NSGA2_5
30,CTP6,SPEA2_5
31,CTP7,SPEA2_5 NSGA2_5
32,CTP8,AGE_5 NSGA2_5 SPEA2_5
33,MW1,GDE3_5 NSDE_5 NSGA2_5
34,MW2,GDE3_5
35,MW3,SPEA2_5
36,MW5,NSDER_5 GDE3_5 NSDE_5
37,MW6,NSDE_5
38,MW7,SPEA2_5 NSGA3_5 AGE_5
39,MW9,AGE_5 NSGA3_5 SPEA2_5 MOEAD_5 CTAEA_5 NSGA2_5 NSDER_5
40,MW10,SPEA2_5
41,MW11,SPEA2_5
42,MW12,SPEA2_5
43,MW13,SPEA2_5
44,MW4,GDE3_5
45,MW8,NSDE_5 GDE3_5
46,MW14,NSGA3_5
47,NCTP1,MOEAD_5
48,NCTP2,MOEAD_5
49,NCTP3,MOEAD_5
50,NCTP4,MOEAD_5
51,NCTP5,MOEAD_5
52,NCTP6,MOEAD_5
53,NCTP7,MOEAD_5
54,NCTP8,MOEAD_5
55,NCTP9,NSDE_5 NSDER_5
56,NCTP10,MOEAD_5
57,NCTP11,MOEAD_5
58,NCTP12,NSDE_5 NSDER_5
59,NCTP13,GDE3_5 NSDE_5
60,NCTP14,GDE3_5
61,NCTP15,GDE3_5 NSDE_5
62,NCTP16,NSDE_5 GDE3_5
63,NCTP17,NSDE_5 GDE3_5
64,NCTP18,NSDE_5
