,problems,best_algorithms
0,MW3,SPEA2_5
1,MW6,NSDE_5 GDE3_5
2,MW7,SPEA2_5
3,MW10,SPEA2_5
4,MW11,NSDER_5 NSDE_5 SPEA2_5 MOEAD_5 NSGA2_5
5,MW13,SPEA2_5
6,MW8,NSDE_5 GDE3_5
7,MW14,SPEA2_5
8,C1-DTLZ1,GDE3_5
9,C1-DTLZ3,GDE3_5
10,C2-DTLZ2,GDE3_5 NSDE_5 AGE_5 NSGA2_5
11,C3-DTLZ1,NSDE_5
12,Convex-C2-DTLZ2,GDE3_5 NSDE_5
13,CTP1,NSDE_5 SPEA2_5
14,CTP2,NSGA2_5 NSGA3_5 AGE_5 SPEA2_5
15,CTP3,NSDER_5 NSDE_5 SPEA2_5 MOEAD_5 NSGA2_5
16,CTP4,NSDER_5 GDE3_5 NSDE_5
17,CTP5,MOEAD_5
18,CTP6,SPEA2_5
19,CTP7,NSGA2_5 SPEA2_5 NSDE_5
20,CTP8,SPEA2_5 NSGA2_5 AGE_5 NSDE_5 NSDER_5
21,DAS-CMOP1,SPEA2_5
22,DAS-CMOP2,SPEA2_5
23,DAS-CMOP3,NSGA2_5
24,DAS-CMOP4,NSDE_5
25,DAS-CMOP5,NSDE_5 GDE3_5
26,DAS-CMOP6,NSDER_5 NSDE_5 SPEA2_5 GDE3_5 NSGA2_5
27,DC1-DTLZ1,NSGA2_5 SPEA2_5 GDE3_5 NSDE_5 NSDER_5
28,DC1-DTLZ3,SPEA2_5 GDE3_5 NSDE_5 NSGA2_5
29,DC2-DTLZ1,GDE3_5 SPEA2_5
30,DC2-DTLZ3,GDE3_5 SPEA2_5
31,DC3-DTLZ1,NSDER_5 NSDE_5 SPEA2_5 GDE3_5 NSGA2_5 AGE_5
32,DC3-DTLZ3,GDE3_5 NSGA2_5 SPEA2_5 NSDE_5 NSDER_5
