,problems,best_algorithms
0,C1-DTLZ1,NSGA3_2 NSGA2_2 AGE_2 SPEA2_2
1,C1-DTLZ3,SPEA2_2 NSGA3_2 NSGA2_2 AGE_2
2,C2-DTLZ2,NSGA2_2 AGE_2 SPEA2_2
3,C3-DTLZ1,SPEA2_2 NSGA3_2 AGE_2
4,C3-DTLZ4,MOEAD_2
5,Convex-C2-DTLZ2,GDE3_2
6,CF1,SPEA2_2 AGE_2
7,CF2,SPEA2_2 GDE3_2 NSDE_2 CTAEA_2 MOEAD_2 NSDER_2 NSGA3_2 AGE_2 NSGA2_2
8,CF3,SPEA2_2 CTAEA_2 MOEAD_2 NSGA3_2 AGE_2 NSGA2_2
9,CF4,AGE_2 NSGA3_2 MOEAD_2 CTAEA_2 NSGA2_2 SPEA2_2 GDE3_2 NSDER_2
10,CF5,NSGA2_2 AGE_2 SPEA2_2
11,CF6,SPEA2_2 NSGA3_2 AGE_2 NSGA2_2
12,CF7,SPEA2_2 CTAEA_2 NSGA3_2 AGE_2 NSGA2_2
13,DAS-CMOP1,MOEAD_2
14,DAS-CMOP2,MOEAD_2
15,DAS-CMOP3,MOEAD_2 NSGA2_2
16,DAS-CMOP4,SPEA2_2 NSGA3_2 AGE_2
17,DAS-CMOP5,SPEA2_2 NSGA3_2 AGE_2
18,DAS-CMOP6,NSGA3_2 AGE_2 SPEA2_2
19,DC1-DTLZ1,GDE3_2
20,DC1-DTLZ3,GDE3_2
21,DC2-DTLZ1,GDE3_2 NSDER_2
22,DC2-DTLZ3,GDE3_2
23,DC3-DTLZ1,GDE3_2 NSDE_2 NSDER_2
24,DC3-DTLZ3,GDE3_2
25,CTP1,CTAEA_2 NSGA2_2
26,CTP2,NSGA2_2
27,CTP3,NSGA2_2
28,CTP4,CTAEA_2 NSGA2_2
29,CTP5,NSGA2_2
30,CTP6,CTAEA_2
31,CTP7,CTAEA_2 NSGA2_2 AGE_2 SPEA2_2
32,CTP8,CTAEA_2
33,MW1,AGE_2 SPEA2_2
34,MW2,AGE_2
35,MW3,MOEAD_2
36,MW5,GDE3_2
37,MW6,SPEA2_2 NSGA3_2 AGE_2
38,MW7,MOEAD_2
39,MW9,CTAEA_2
40,MW10,CTAEA_2
41,MW11,CTAEA_2
42,MW12,SPEA2_2 AGE_2
43,MW13,CTAEA_2
44,MW4,GDE3_2 AGE_2
45,MW8,AGE_2
46,MW14,MOEAD_2
47,NCTP1,MOEAD_2
48,NCTP2,MOEAD_2
49,NCTP3,MOEAD_2
50,NCTP4,MOEAD_2
51,NCTP5,MOEAD_2
52,NCTP6,MOEAD_2
53,NCTP7,MOEAD_2
54,NCTP8,MOEAD_2
55,NCTP9,MOEAD_2
56,NCTP10,MOEAD_2
57,NCTP11,MOEAD_2
58,NCTP12,MOEAD_2
59,NCTP13,MOEAD_2
60,NCTP14,MOEAD_2
61,NCTP15,MOEAD_2
62,NCTP16,MOEAD_2
63,NCTP17,MOEAD_2
64,NCTP18,CTAEA_2 NSGA3_2
